Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
7.824e+10 7.216e+11 1.903e+31 1.338e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.384e+12 7.915e+16 3.771e+31 2.964e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.046e+13 4.265e+13 1.653e+31 1.496e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.741e+13 1.599e+11 3.773e+31 1.488e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.060e+12 7.840e+15 1.783e+31 1.723e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.336e+11 4.751e+16 3.175e+31 1.847e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.227e+10 1.612e+17 3.843e+31 3.100e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.072e+14 4.494e+16 3.817e+31 3.584e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.157e+14 1.344e+17 3.495e+31 2.160e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.643e+11 7.467e+15 3.815e+31 1.450e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.283e+15 1.258e+17 4.918e+31 2.364e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.310e+14 6.887e+11 3.584e+31 2.014e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.751e+15 4.565e+15 1.892e+31 1.610e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.868e+12 9.009e+13 3.705e+31 1.523e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.457e+16 1.232e+11 3.982e+31 2.094e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.396e+17 4.305e+12 2.475e+31 2.142e+31 0.000e+00 0.000e+00 0 type_I type_I 1
